nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19116201,756102,America
Colombia,51265844,1141748,America
Mexico,128932753,1964375,America
Peru,33359418,1285216,America
Uruguay,3574900,176215,America
Venezuela,28301696,912050,America
Japon,125800000,377975,Asia
China,1412600000,9596960,Asia
India,1393409038,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523615,1904569,Asia
Tailandia,71601103,513120,Asia
Alemania,83149300,357022,Europa
Francia,67391582,643801,Europa
Italia,60367477,301340,Europa
España,47351567,505990,Europa
Reino Unido,67886011,243610,Europa
Portugal,10295909,92212,Europa
Suecia,10402070,450295,Europa
Polonia,38386000,312679,Europa
Nigeria,211400708,923768,Africa
Etiopia,120283026,1104300,Africa
Egipto,102334404,1001449,Africa
Sudafrica,60041994,1219090,Africa
Kenia,54985698,580367,Africa
Tanzania,63298550,945087,Africa
Australia,25788215,7692024,Oceania
Nueva Zelanda,5084300,268021,Oceania

